id,punch
0,"[[100, 200],[300, 400],[500,600]]"

[5.6, 9.3, 15.4, 26.5, 31.6, 33.7, 44.75, 53.0, 57.1, 61.7, 64.58, 67.2, 86.2, 89.6, 91.6, 95.1, 114.8, 119.6, 125.0]

[208, 346, 573, 987, 1176, 1255, 1666, 1973, 2126, 2297, 2404, 2502, 3209, 3336, 3410, 3541, 4274, 4453, 4654]






id,punch
0,"[[208, 308], [346, 446], [573, 673], [987, 1087], [1176, 1276], [1255, 1355], [1666, 1766], [1973, 2073], [2126, 2226], [2297, 2397], [2404, 2504], [2502, 2602], [3209, 3309], [3336, 3436], [3410, 3510], [3541, 3641], [4274, 4374], [4440, 4540], [4640, 4740]]"



id,punch
0,"[[160, 260], [280, 380], [520, 620], [960, 1060], [1160, 1260], [1240, 1340], [1680, 1780], [2000, 2100], [2120, 2220], [2320, 2420], [2400, 2500], [2520, 2620], [3280, 3380], [3400, 3500], [3480, 3580], [3840, 3940], [4360, 4460], [4560, 4660]]"


